Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Deposit,Current,2019-02-05 13:53:45,,Top-up by *6408,1.00,0.00,EUR,REVERTED,
Deposit,Current,2019-02-05 13:54:09,2019-02-05 13:54:49,Top-up by *6408,40.00,0.00,EUR,COMPLETED,40.00
Transfer,Current,2019-02-14 22:26:20,2019-02-14 22:26:20,Transfer from Fabien Martial Tissot,6.40,0.00,EUR,COMPLETED,46.40
Deposit,Current,2019-02-15 13:03:48,2019-02-15 13:03:48,Payment from M  FAUCOMPRET REMI,100.00,0.00,EUR,COMPLETED,146.40
Transfer,Current,2019-02-16 01:24:15,2019-02-16 01:24:15,Transfer from Fabien Martial Tissot,7.00,0.00,EUR,COMPLETED,153.40
Card Payment,Current,2019-02-16 19:19:56,2019-02-18 22:24:16,Pizza Pasta,-8.50,0.00,EUR,COMPLETED,144.90
Card Payment,Current,2019-02-16 11:30:14,2019-02-18 22:24:17,Vessiere Monplaisir,-13.50,0.00,EUR,COMPLETED,131.40
Card Payment,Current,2019-02-16 17:37:24,2019-02-19 00:58:53,Lpa Direct Depl,-3.00,0.00,EUR,COMPLETED,128.40
Deposit,Current,2019-02-19 12:42:37,2019-02-19 12:42:37,Payment from M  FAUCOMPRET REMI,1000.00,0.00,EUR,COMPLETED,1128.40
Transfer,Current,2019-02-19 20:46:19,2019-02-19 20:46:19,Transfer to Fabien Martial Tissot,-8.00,0.00,EUR,COMPLETED,1120.40
Card Payment,Current,2019-02-17 20:13:25,2019-02-19 22:07:40,McDonald's,-6.20,0.00,EUR,COMPLETED,1114.20
Card Payment,Current,2019-02-17 19:43:30,2019-02-19 22:07:40,McDonald's,-13.30,0.00,EUR,COMPLETED,1100.90
Card Payment,Current,2019-02-18 20:52:33,2019-02-19 23:11:39,WE ARE SPORTS,-8.50,0.00,EUR,COMPLETED,1092.40
Card Payment,Current,2019-02-18 13:22:21,2019-02-20 00:20:47,Vessiere Monplaisir,-11.08,0.00,EUR,COMPLETED,1081.32
Card Payment,Current,2019-02-19 14:38:39,2019-02-20 11:33:39,Carrefour,-84.70,0.00,EUR,COMPLETED,996.62
Card Payment,Current,2019-02-18 10:03:41,2019-02-20 13:29:07,AliExpress,-1.80,0.00,EUR,COMPLETED,994.82
Card Payment,Current,2019-02-18 19:34:58,2019-02-21 11:21:23,PMU,-5.00,0.00,EUR,COMPLETED,989.82
Card Payment,Current,2019-02-21 12:33:07,2019-02-22 12:31:53,Vessiere Monplaisir,-14.47,0.00,EUR,COMPLETED,975.35
Card Payment,Current,2019-02-21 21:13:54,2019-02-22 12:31:54,WE ARE SPORTS,-11.00,0.00,EUR,COMPLETED,964.35
Card Payment,Current,2019-02-21 21:14:24,2019-02-22 12:31:54,WE ARE SPORTS,-5.00,0.00,EUR,COMPLETED,959.35
Transfer,Current,2019-02-22 19:28:26,2019-02-22 19:28:26,Transfer from Fabien Martial Tissot,13.00,0.00,EUR,COMPLETED,972.35
Card Payment,Current,2019-02-22 10:51:33,2019-02-24 09:43:17,AliExpress,-4.25,0.00,EUR,COMPLETED,968.10
Card Payment,Current,2019-02-22 18:58:49,2019-02-25 11:37:43,Vessiere Monplaisir,-28.16,0.00,EUR,COMPLETED,939.94
Card Payment,Current,2019-02-23 15:29:58,2019-02-25 20:02:39,Bakery Harle,-3.20,0.00,EUR,COMPLETED,936.74
Card Payment,Current,2019-02-22 19:09:20,2019-02-25 20:02:39,Marche Plus,-9.42,0.00,EUR,COMPLETED,927.32
Card Payment,Current,2019-02-23 16:53:40,2019-02-25 20:02:39,Vessiere Monplaisir,-3.60,0.00,EUR,COMPLETED,923.72
Card Payment,Current,2019-02-23 16:40:41,2019-02-26 05:16:23,Limlime,-1.21,0.00,EUR,COMPLETED,922.51
Card Payment,Current,2019-02-27 13:51:17,2019-03-01 11:55:23,AliExpress,-7.16,0.00,EUR,COMPLETED,915.35
Card Payment,Current,2019-03-04 15:03:55,,Carrefour,-50.08,0.00,EUR,REVERTED,
Card Payment,Current,2019-03-03 19:19:40,2019-03-05 19:38:11,Limlime,-0.61,0.00,EUR,COMPLETED,914.74
Card Payment,Current,2019-03-03 19:10:44,2019-03-05 19:38:11,Limlime,-0.61,0.00,EUR,COMPLETED,914.13
Card Payment,Current,2019-03-05 20:52:42,2019-03-06 01:38:54,Carrefour,-50.08,0.00,EUR,COMPLETED,864.05
Card Payment,Current,2019-04-01 16:16:17,,Voi Technology,-1.00,0.00,EUR,REVERTED,
Card Payment,Current,2019-03-29 11:23:36,2019-04-02 05:10:45,Euromaster,-104.99,0.00,EUR,COMPLETED,759.06
Card Payment,Current,2019-04-02 19:52:08,2019-04-03 17:58:49,Transport for London,-5.75,0.00,EUR,COMPLETED,753.31
Card Payment,Current,2019-04-02 19:23:51,2019-04-03 17:58:49,Heathrow express,-43.29,0.00,EUR,COMPLETED,710.02
Transfer,Current,2019-04-03 22:15:17,2019-04-03 22:15:17,Transfer to Fabien Martial Tissot,-2.00,0.00,EUR,COMPLETED,708.02
Card Payment,Current,2019-04-02 15:21:26,2019-04-04 11:59:39,Cfta Rhone,-26.70,0.00,EUR,COMPLETED,681.32
Card Payment,Current,2019-04-03 14:18:37,2019-04-04 17:58:09,Subway,-11.25,0.00,EUR,COMPLETED,670.07
Card Payment,Current,2019-04-03 15:00:59,2019-04-04 17:58:09,Transport for London,-5.75,0.00,EUR,COMPLETED,664.32
Card Payment,Current,2019-04-03 09:43:39,2019-04-04 17:58:09,London Taxi Journe,-23.68,0.00,EUR,COMPLETED,640.64
Card Payment,Current,2019-04-03 12:54:49,2019-04-04 17:58:09,Transport for London,-5.75,0.00,EUR,COMPLETED,634.89
Card Payment,Current,2019-04-03 16:42:30,2019-04-04 17:58:10,Heathrow Airport,-2.80,0.00,EUR,COMPLETED,632.09
Card Payment,Current,2019-04-02 20:34:23,2019-04-05 03:41:04,Park Plaza Hotels,-301.34,0.00,EUR,COMPLETED,330.75
Card Payment,Current,2019-04-05 21:22:21,2019-04-08 09:37:51,Bistrot Du 6eme,-29.65,0.00,EUR,COMPLETED,301.10
Card Payment,Current,2019-04-05 14:44:24,2019-04-08 20:24:27,Marche Plus,-7.14,0.00,EUR,COMPLETED,293.96
Card Payment,Current,2019-04-06 16:13:07,2019-04-08 20:24:27,WE ARE SPORTS,-15.00,0.00,EUR,COMPLETED,278.96
Card Payment,Current,2019-04-10 21:33:45,,Voi Technology,-1.00,0.00,EUR,REVERTED,
Transfer,Current,2019-04-12 17:00:31,2019-04-12 17:00:31,Transfer to Fabien Martial Tissot,-10.50,0.00,EUR,COMPLETED,268.46
Transfer,Current,2019-04-12 23:55:37,2019-04-12 23:55:37,Transfer from Fabien Martial Tissot,4.95,0.00,EUR,COMPLETED,273.41
Transfer,Current,2019-04-14 20:11:58,2019-04-14 20:11:58,Transfer from Fabien Martial Tissot,11.50,0.00,EUR,COMPLETED,284.91
Card Payment,Current,2019-04-13 19:51:01,2019-04-15 18:19:09,Carrefour,-42.88,0.00,EUR,COMPLETED,242.03
Transfer,Current,2019-04-26 00:32:14,2019-04-26 00:32:14,Transfer from Fabien Martial Tissot,4.50,0.00,EUR,COMPLETED,246.53
Deposit,Current,2019-04-28 13:09:15,,Top-up by *0947,1.00,0.00,EUR,REVERTED,
Deposit,Current,2019-04-28 13:09:29,2019-04-28 13:10:00,Top-up by *0947,200.00,0.00,EUR,COMPLETED,446.53
Transfer,Current,2019-04-28 21:17:45,2019-04-28 21:17:45,Transfer to Fabien Martial Tissot,-8.00,0.00,EUR,COMPLETED,438.53
Deposit,Current,2019-04-29 12:43:16,2019-04-29 12:43:16,Payment from M  FAUCOMPRET REMI,1000.00,0.00,EUR,COMPLETED,1438.53
Card Payment,Current,2019-04-28 12:54:56,2019-04-30 04:43:25,Transport for London,-58.21,0.00,EUR,COMPLETED,1380.32
Card Refund,Current,2019-05-01 07:46:09,2019-05-01 08:11:34,Refund from Park Plaza Westminster,239.66,0.00,EUR,COMPLETED,1619.98
Card Payment,Current,2019-04-29 12:44:07,2019-05-01 16:33:54,DR Harris & Co Ltd,-54.45,0.00,EUR,COMPLETED,1565.53
ATM,Current,2019-05-20 05:55:46,2019-05-21 23:33:56,Cash withdrawal at Chase,-92.37,0.00,EUR,COMPLETED,1473.16
Card Payment,Current,2019-05-30 20:12:52,2019-06-01 06:39:18,Keolis,-1.90,0.00,EUR,COMPLETED,1471.26
